id,category,name,platforms,priority,required_states,accessibility,notes
OVR-002,Superposition,Drawer,Web/Mobile,P0,"left,right,bottom",focus trap; labelled,
OVR-003,Superposition,Popover,Web,P1,"closed,open",dismissible; no essential hover-only,
OVR-004,Superposition,Tooltip,Web,P1,"hidden,visible",escape; hover and focus,
VIS-001,Visualisation,ChartContainer,Web/Mobile,P0,"loading,empty,error,export",text summary and data table,
VIS-002,Visualisation,KpiStrip,Web,P0,"default,compact,scroll",semantic list,
VIS-003,Visualisation,MapPanel,Web,P1,"loading,data,no-data",table alternative,
VIS-004,Visualisation,InsightPanel,Web,P1,"facts,anomalies,recommendations",headings and lists,
DOM-001,Metier,MemberIdentityHeader,Web/Mobile,P0,"active,dormant,prospect,suspended",status text and badge,
DOM-002,Metier,ContributionSummary,Web/Mobile,P0,"paid,partial,late,not-due",currency and due date accessible,
DOM-003,Metier,PaymentChannelBadge,Web/Mobile,P0,"mobile-money,bank,cash,cheque",channel text visible,
DOM-004,Metier,ReconciliationPanel,Web,P0,"unmatched,partial,matched,exception",errors linked to allocation fields,
DOM-005,Metier,ReceiptPreview,Web/Mobile,P0,"draft,issued,void,unavailable",download alternative; metadata,
DOM-006,Metier,CampaignBuilder,Web,P1,"audience,message,cadence,schedule,review",step validity and summary,
DOM-007,Metier,RequestConversation,Web/Mobile,P0,"open,pending,resolved,closed",message chronology; attachments,
DOM-008,Metier,DocumentCard,Web/Mobile,P0,"available,processing,rejected,expired",file type/size/status,
DOM-009,Metier,MemberShowcaseHero,Web,P0,"verified,unverified,expired",verification explained in text,
DOM-010,Metier,ShowcaseActivityCard,Web,P0,"default,featured,no-image",image alt; semantic heading,
DOM-011,Metier,ShowcaseProjectCard,Web,P0,"default,featured,no-image",image alt; dates and tags,
DOM-012,Metier,ShowcaseGallery,Web,P1,"grid,lightbox,empty",keyboard lightbox; alt text,
DOM-013,Metier,ShowcaseEditor,Web,P0,"draft,invalid,preview,publishing,published",autosave status announced,
DOM-014,Metier,VerificationBadge,Web/Mobile,P0,"verified,pending,expired,suspended",never imply endorsement beyond status,
DOM-015,Metier,AgentAssignmentCard,Web,P1,"assigned,unassigned,unavailable",contact action names,
