Story ID;Requirement ID;Epic;Acteur;Titre;User story;Priorité;Release;Estimation;Statut;Critère d’acceptation;Impact sécurité
US-PAY-004;PAY-004;Paiements et rapprochement;Comptable CNPM;Rapprocher automatiquement par référence, montant, date et payeur;En tant que comptable cnpm, je veux rapprocher automatiquement par référence, montant, date et payeur. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;"Un score explique la proposition; le seuil est paramétrable.";Élevé
US-PAY-005;PAY-005;Paiements et rapprochement;Comptable CNPM;Présenter une file de rapprochement manuel;En tant que comptable cnpm, je veux présenter une file de rapprochement manuel. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;L’agent voit preuve, candidat, écarts et historique avant décision.;Élevé
US-PAY-006;PAY-006;Paiements et rapprochement;Comptable CNPM;Gérer trop-perçus, sous-paiements, remboursements et rejets;En tant que comptable cnpm, je veux gérer trop-perçus, sous-paiements, remboursements et rejets. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;Chaque cas suit un workflow comptable et laisse une piste d’audit.;Élevé
US-PAY-007;PAY-007;Paiements et rapprochement;Comptable CNPM;Empêcher la double confirmation d’une transaction;En tant que comptable cnpm, je veux empêcher la double confirmation d’une transaction. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;Les clés d’idempotence et contrôles d’unicité bloquent le doublon.;Élevé
US-PAY-008;PAY-008;Paiements et rapprochement;Comptable CNPM;Alerter sur les anomalies et paiements suspects;En tant que comptable cnpm, je veux alerter sur les anomalies et paiements suspects. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Should;R2 - Déploiement élargi;5;À affiner;Règles : montant inhabituel, canal incohérent, répétition, modification de compte.;Élevé
US-REC-001;REC-001;Reçus et attestations;Responsable financier;Émettre un reçu uniquement après confirmation CNPM;En tant que responsable financier, je veux émettre un reçu uniquement après confirmation CNPM. afin de sécuriser et fluidifier le processus reçus et attestations.;Must;R1 - PoC / socle;8;À affiner;Aucun reçu officiel ne peut être produit sur paiement non confirmé.;Élevé
US-REC-002;REC-002;Reçus et attestations;Responsable financier;Inclure numéro unique, membre, montant, période, canal, date et signature;En tant que responsable financier, je veux inclure numéro unique, membre, montant, période, canal, date et signature. afin de sécuriser et fluidifier le processus reçus et attestations.;Must;R1 - PoC / socle;8;À affiner;Le PDF contient toutes les mentions obligatoires et le logo CNPM.;Élevé
US-REC-003;REC-003;Reçus et attestations;Responsable financier;Signer électroniquement et apposer un QR de vérification;En tant que responsable financier, je veux signer électroniquement et apposer un QR de vérification. afin de sécuriser et fluidifier le processus reçus et attestations.;Should;R2 - Déploiement élargi;5;À affiner;Le QR valide l’authenticité sans exposer de données confidentielles.;Élevé
US-REC-004;REC-004;Reçus et attestations;Responsable financier;Notifier le membre par portail, e-mail, SMS et/ou push;En tant que responsable financier, je veux notifier le membre par portail, e-mail, SMS et/ou push. afin de sécuriser et fluidifier le processus reçus et attestations.;Must;R1 - PoC / socle;8;À affiner;Le statut de livraison est conservé.;Élevé
US-REC-005;REC-005;Reçus et attestations;Responsable financier;Annuler/remplacer un reçu via workflow contrôlé;En tant que responsable financier, je veux annuler/remplacer un reçu via workflow contrôlé. afin de sécuriser et fluidifier le processus reçus et attestations.;Must;R1 - PoC / socle;8;À affiner;Le reçu annulé reste archivé et la version de remplacement le référence.;Élevé
US-REC-006;REC-006;Reçus et attestations;Responsable financier;Permettre la vérification publique limitée d’un reçu;En tant que responsable financier, je veux permettre la vérification publique limitée d’un reçu. afin de sécuriser et fluidifier le processus reçus et attestations.;Should;R2 - Déploiement élargi;5;À affiner;La page confirme authenticité, statut et montant sans données excessives.;Élevé
US-REL-001;REL-001;Recouvrement et relances;Agent de recouvrement;Configurer des séquences par événement, délai, canal et segment;En tant que agent de recouvrement, je veux configurer des séquences par événement, délai, canal et segment. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;Exemple : J-15 e-mail, J-7 SMS, J+3 appel, J+15 courrier.;Standard
US-REL-002;REL-002;Recouvrement et relances;Agent de recouvrement;Personnaliser les messages avec données membre et solde;En tant que agent de recouvrement, je veux personnaliser les messages avec données membre et solde. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;Les modèles affichent un aperçu avant envoi.;Standard
US-REL-003;REL-003;Recouvrement et relances;Agent de recouvrement;Gérer les consentements et préférences de communication;En tant que agent de recouvrement, je veux gérer les consentements et préférences de communication. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;Le canal non autorisé n’est jamais utilisé, sauf obligation légale.;Standard
US-REL-004;REL-004;Recouvrement et relances;Agent de recouvrement;Suspendre automatiquement les relances en cas de litige ou promesse active;En tant que agent de recouvrement, je veux suspendre automatiquement les relances en cas de litige ou promesse active. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;La suspension est visible et datée.;Standard
US-REL-005;REL-005;Recouvrement et relances;Agent de recouvrement;Créer et suivre les promesses de paiement;En tant que agent de recouvrement, je veux créer et suivre les promesses de paiement. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;Montant, date, commentaire et statut tenu/non tenu sont obligatoires.;Standard
US-REL-006;REL-006;Recouvrement et relances;Agent de recouvrement;Planifier appels, visites et rendez-vous;En tant que agent de recouvrement, je veux planifier appels, visites et rendez-vous. afin de sécuriser et fluidifier le processus recouvrement et relances.;Should;R2 - Déploiement élargi;5;À affiner;Les tâches apparaissent dans l’agenda et le portefeuille de l’agent.;Standard
US-REL-007;REL-007;Recouvrement et relances;Agent de recouvrement;Mesurer performance par campagne, agent, canal et segment;En tant que agent de recouvrement, je veux mesurer performance par campagne, agent, canal et segment. afin de sécuriser et fluidifier le processus recouvrement et relances.;Must;R1 - PoC / socle;8;À affiner;Taux de contact, conversion, montant récupéré, coût et délai moyen.;Standard
US-REL-008;REL-008;Recouvrement et relances;Agent de recouvrement;Proposer une priorisation assistée par score;En tant que agent de recouvrement, je veux proposer une priorisation assistée par score. afin de sécuriser et fluidifier le processus recouvrement et relances.;Could;R3 - Innovation;3;À affiner;Le score est explicable et ne décide pas seul d’une sanction.;Standard
US-PRT-001;PRT-001;Portail et application membre;Membre autorisé;Connexion par mot de passe ou OTP avec 2FA selon risque;En tant que membre autorisé, je veux connexion par mot de passe ou OTP avec 2FA selon risque. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Le membre peut récupérer son accès sans intervention manuelle abusive.;Standard
US-PRT-002;PRT-002;Portail et application membre;Membre autorisé;Consulter le détail des cotisations et télécharger les appels;En tant que membre autorisé, je veux consulter le détail des cotisations et télécharger les appels. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Les calculs et ajustements sont explicités.;Standard
US-PRT-003;PRT-003;Portail et application membre;Membre autorisé;Initier un paiement et suivre son statut;En tant que membre autorisé, je veux initier un paiement et suivre son statut. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Le statut est actualisé et les échecs sont expliqués.;Standard
US-PRT-004;PRT-004;Portail et application membre;Membre autorisé;Télécharger reçus, attestations et carte membre;En tant que membre autorisé, je veux télécharger reçus, attestations et carte membre. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Les documents sont signés et vérifiables.;Standard
US-PRT-005;PRT-005;Portail et application membre;Membre autorisé;Mettre à jour les informations soumises à validation;En tant que membre autorisé, je veux mettre à jour les informations soumises à validation. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Les changements sensibles restent en attente jusqu’à validation.;Standard
US-PRT-006;PRT-006;Portail et application membre;Membre autorisé;Déposer et suivre une requête ou réclamation;En tant que membre autorisé, je veux déposer et suivre une requête ou réclamation. afin de sécuriser et fluidifier le processus portail et application membre.;Must;R1 - PoC / socle;8;À affiner;Le membre voit le SLA, les réponses et les pièces demandées.;Standard
US-PRT-007;PRT-007;Portail et application membre;Membre autorisé;Inscrire des représentants aux événements;En tant que membre autorisé, je veux inscrire des représentants aux événements. afin de sécuriser et fluidifier le processus portail et application membre.;Should;R2 - Déploiement élargi;5;À affiner;Confirmation, QR d’accès et rappel automatiques.;Standard
US-PRT-008;PRT-008;Portail et application membre;Membre autorisé;Gérer les utilisateurs délégués de l’entreprise;En tant que membre autorisé, je veux gérer les utilisateurs délégués de l’entreprise. afin de sécuriser et fluidifier le processus portail et application membre.;Should;R2 - Déploiement élargi;5;À affiner;Le représentant principal attribue des droits limités.;Standard
US-PRT-009;PRT-009;Portail et application membre;Membre autorisé;Utiliser l’application en français et préparer d’autres langues;En tant que membre autorisé, je veux utiliser l’application en français et préparer d’autres langues. afin de sécuriser et fluidifier le processus portail et application membre.;Should;R2 - Déploiement élargi;5;À affiner;Tous les libellés sont externalisés et traduisibles.;Standard
US-PRT-010;PRT-010;Portail et application membre;Membre autorisé;Recevoir des notifications push pertinentes;En tant que membre autorisé, je veux recevoir des notifications push pertinentes. afin de sécuriser et fluidifier le processus portail et application membre.;Should;R2 - Déploiement élargi;5;À affiner;Les préférences sont modifiables et la désinscription respectée.;Standard
US-REQ-001;REQ-001;Requêtes et réclamations;Agent services aux membres;Attribuer un numéro de dossier unique et un accusé de réception;En tant que agent services aux membres, je veux attribuer un numéro de dossier unique et un accusé de réception. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Must;R2 - Déploiement élargi;8;À affiner;Le membre reçoit numéro, date et délai cible.;Standard
US-REQ-002;REQ-002;Requêtes et réclamations;Agent services aux membres;Qualifier automatiquement ou manuellement la demande;En tant que agent services aux membres, je veux qualifier automatiquement ou manuellement la demande. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Must;R2 - Déploiement élargi;8;À affiner;Catégorie, priorité, service, confidentialité et responsable sont définis.;Standard
US-REQ-003;REQ-003;Requêtes et réclamations;Agent services aux membres;Affecter selon compétence, charge et groupement;En tant que agent services aux membres, je veux affecter selon compétence, charge et groupement. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Should;R2 - Déploiement élargi;5;À affiner;L’affectation automatique peut être reprise avec motif.;Standard
US-REQ-004;REQ-004;Requêtes et réclamations;Agent services aux membres;Gérer échanges, pièces, commentaires internes et réponses externes;En tant que agent services aux membres, je veux gérer échanges, pièces, commentaires internes et réponses externes. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Must;R2 - Déploiement élargi;8;À affiner;Les notes internes ne sont jamais visibles du membre.;Standard
US-REQ-005;REQ-005;Requêtes et réclamations;Agent services aux membres;Suivre SLA, relances internes et escalades;En tant que agent services aux membres, je veux suivre SLA, relances internes et escalades. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Must;R2 - Déploiement élargi;8;À affiner;Des alertes sont envoyées avant et après dépassement.;Standard
US-REQ-006;REQ-006;Requêtes et réclamations;Agent services aux membres;Permettre au membre de réouvrir dans un délai paramétrable;En tant que agent services aux membres, je veux permettre au membre de réouvrir dans un délai paramétrable. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Should;R2 - Déploiement élargi;5;À affiner;Le motif de réouverture est obligatoire.;Standard
US-REQ-007;REQ-007;Requêtes et réclamations;Agent services aux membres;Mesurer satisfaction et qualité de service;En tant que agent services aux membres, je veux mesurer satisfaction et qualité de service. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Should;R2 - Déploiement élargi;5;À affiner;Score, verbatim et motif d’insatisfaction sont exploitables en BI.;Standard
US-REQ-008;REQ-008;Requêtes et réclamations;Agent services aux membres;Capitaliser les réponses en base de connaissances;En tant que agent services aux membres, je veux capitaliser les réponses en base de connaissances. afin de sécuriser et fluidifier le processus requêtes et réclamations.;Could;R3 - Innovation;3;À affiner;Une réponse validée peut être transformée en article FAQ.;Standard
US-GRP-001;GRP-001;Groupements professionnels;Référent de groupement;Créer les groupements, responsables, mandats et zones;En tant que référent de groupement, je veux créer les groupements, responsables, mandats et zones. afin de sécuriser et fluidifier le processus groupements professionnels.;Must;R2 - Déploiement élargi;8;À affiner;Chaque membre est rattaché à un ou plusieurs groupements selon règles.;Standard
US-GRP-002;GRP-002;Groupements professionnels;Référent de groupement;Attribuer un portefeuille de prospects et membres;En tant que référent de groupement, je veux attribuer un portefeuille de prospects et membres. afin de sécuriser et fluidifier le processus groupements professionnels.;Must;R2 - Déploiement élargi;8;À affiner;Le groupement ne voit que son périmètre autorisé.;Standard
US-GRP-003;GRP-003;Groupements professionnels;Référent de groupement;Suivre objectifs d’enrôlement, cotisation et réactivation;En tant que référent de groupement, je veux suivre objectifs d’enrôlement, cotisation et réactivation. afin de sécuriser et fluidifier le processus groupements professionnels.;Must;R2 - Déploiement élargi;8;À affiner;Les objectifs et réalisations sont comparables par période.;Standard
US-GRP-004;GRP-004;Groupements professionnels;Référent de groupement;Former et habiliter des référents de groupement;En tant que référent de groupement, je veux former et habiliter des référents de groupement. afin de sécuriser et fluidifier le processus groupements professionnels.;Should;R2 - Déploiement élargi;5;À affiner;Le système suit habilitation, date de formation et expiration.;Standard
US-GRP-005;GRP-005;Groupements professionnels;Référent de groupement;Gérer les commissions, membres, mandats et documents;En tant que référent de groupement, je veux gérer les commissions, membres, mandats et documents. afin de sécuriser et fluidifier le processus groupements professionnels.;Should;R2 - Déploiement élargi;5;À affiner;L’historique des compositions est conservé.;Standard
US-GRP-006;GRP-006;Groupements professionnels;Référent de groupement;Produire des tableaux de bord sectoriels;En tant que référent de groupement, je veux produire des tableaux de bord sectoriels. afin de sécuriser et fluidifier le processus groupements professionnels.;Must;R2 - Déploiement élargi;8;À affiner;Encaissements, adhésions, retard et engagement par groupement.;Standard
US-PRI-001;PRI-001;Primes et partage de revenus;Commission de vérification;Associer chaque encaissement à une catégorie de mobilisation;En tant que commission de vérification, je veux associer chaque encaissement à une catégorie de mobilisation. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;La catégorie est déterminée par règle et peut être corrigée avec validation.;Élevé
US-PRI-002;PRI-002;Primes et partage de revenus;Commission de vérification;Calculer automatiquement la prime selon taux, base et plafonds;En tant que commission de vérification, je veux calculer automatiquement la prime selon taux, base et plafonds. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;Le détail de calcul est explicable et exportable.;Élevé
US-PRI-003;PRI-003;Primes et partage de revenus;Commission de vérification;Gérer contestations, corrections et rétrocessions;En tant que commission de vérification, je veux gérer contestations, corrections et rétrocessions. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;"Aucune suppression; les ajustements sont tracés.";Élevé
US-PRI-004;PRI-004;Primes et partage de revenus;Commission de vérification;Produire un état mensuel soumis à commission de vérification;En tant que commission de vérification, je veux produire un état mensuel soumis à commission de vérification. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;État par agent, catégorie, membre, encaissement et montant.;Élevé
US-PRI-005;PRI-005;Primes et partage de revenus;Commission de vérification;Valider puis figer la période de prime;En tant que commission de vérification, je veux valider puis figer la période de prime. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;Une période clôturée ne change que par réouverture autorisée.;Élevé
US-PRI-006;PRI-006;Primes et partage de revenus;Commission de vérification;Calculer la rémunération du prestataire sur encaissements éligibles;En tant que commission de vérification, je veux calculer la rémunération du prestataire sur encaissements éligibles. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Must;R2 - Déploiement élargi;8;À affiner;Les cotisants maintenus sur l’ancien système sont exclus.;Élevé
US-PRI-007;PRI-007;Primes et partage de revenus;Commission de vérification;Comparer encaissement brut, frais canal, prime et net CNPM;En tant que commission de vérification, je veux comparer encaissement brut, frais canal, prime et net CNPM. afin de sécuriser et fluidifier le processus primes et partage de revenus.;Should;R2 - Déploiement élargi;5;À affiner;Le rapport de réconciliation détaille chaque composante.;Élevé
US-GED-001;GED-001;Gestion électronique des documents;Utilisateur habilité;Stocker les documents avec type, version, date, auteur et confidentialité;En tant que utilisateur habilité, je veux stocker les documents avec type, version, date, auteur et confidentialité. afin de sécuriser et fluidifier le processus gestion électronique des documents.;Must;R2 - Déploiement élargi;8;À affiner;Chaque document est rattaché à un objet métier et historisé.;Standard
